Id,Label,Grupo,Conexiones
Cenchrus clandestinus,Cenchrus clandestinus,Plantae,1
Cotoneaster coriaceus,Cotoneaster coriaceus,Plantae,1
Schoenoplectus californicus,Schoenoplectus californicus,Plantae,2
Lepechinia bullata,Lepechinia bullata,Plantae,1
Dendrocygna viduata,Dendrocygna viduata,Aves,1
Myiodynastes luteiventris,Myiodynastes luteiventris,Aves,1
Asemosyrphus mexicanus,Asemosyrphus mexicanus,Insecta,1
Rubus glaucus,Rubus glaucus,Plantae,1
Tigridia pavonia,Tigridia pavonia,Plantae,1
Lycianthes lycioides,Lycianthes lycioides,Plantae,1
Deroceras reticulatum,Deroceras reticulatum,Mollusca,1
Pyrocephalus rubinus,Pyrocephalus rubinus,Aves,1
Xylosma spiculifera,Xylosma spiculifera,Plantae,1
Butorides striata,Butorides striata,Aves,1
Atlapetes pallidinucha,Atlapetes pallidinucha,Aves,1
